SMILES,Reason
C/C1=C2/[NH+]=C(/C=C3\[NH+]=C(/C(C)=C4/C(CCC(N)=O)C(C)(CC(N)=O)C(C)(C5N=C1C(C)(CCC(=O)NCC(C)OP(=O)([O-])OC1C(CO)OC(n6cnc7cc(C)c(C)cc76)C1O)C5CC(N)=O)[N]4[Co][C]#N)C(C)(CC(N)=O)C3CCC(N)=O)C(C)(C)C2CCC(N)=O,Contained NaN in final set
C1CC[CH]([Sn]([CH]2CCCCC2)[CH]2CCCCC2)CC1,Contained NaN in final set
C1C[O][Sb]2[O]CC[O][Sb]([O]1)[O]CC[O]2,Contained NaN in final set
C1N2CN3CN1C[PH]([Pt]([PH]14CN5CN(CN(C5)C1)C4)([PH]14CN5CN(CN(C5)C1)C4)[PH]14CN5CN(CN(C5)C1)C4)(C2)C3,Contained NaN in final set
C=C(C)C(=O)[O][Zn][OH],Contained NaN in final set
CC(=O)[O][Ba][O]C(C)=O,Contained NaN in final set
CC(=O)[O][Hg][c]1ccccc1,Contained NaN in final set
CC(=O)[O][Pt]([NH2])([NH2])([Cl])([Cl])[O]C(C)=O,Contained NaN in final set
CC(=O)[O][Sr][O]C(C)=O,Contained NaN in final set
CC(=O)[O][U](=[O])(=[O])[O]C(C)=O,Contained NaN in final set
CC(=O)[O][Zn][O]C(C)=O,Contained NaN in final set
CC(C)C(=O)[O][Zr]([O]C(=O)C(C)C)([O]C(=O)C(C)C)[O]C(=O)C(C)C,Contained NaN in final set
CC(O)C(=O)[O][Ag],Contained NaN in final set
CC(O)C(=O)[O][Na],Contained NaN in final set
CC(O)C(=O)[O][Zn][O]C(=O)C(C)O,Contained NaN in final set
CC1(C)CC([NH][Pt]([NH2])([Cl])[I])C(C)(C)N1O,Contained NaN in final set
CCC(=O)[O][Na],Contained NaN in final set
CCC(C)C1(CC)C(=O)N=C([O][Na])NC1=O,Contained NaN in final set
CCCCC(=O)[O][Zn][O]C(=O)CCCC,Contained NaN in final set
CCCCC(CC)COC(=O)C[S][Sn]([CH2]CCC)([CH2]CCC)[S]CC(=O)OCC(CC)CCCC,Contained NaN in final set
CCCCC(CC)COC(=O)C[S][Sn]([CH3])([CH3])[S]CC(=O)OCC(CC)CCCC,Contained NaN in final set
CCCCC(CC)COC(=O)C[S][Sn]([CH3])([S]CC(=O)OCC(CC)CCCC)[S]CC(=O)OCC(CC)CCCC,Contained NaN in final set
CCCCCCCCCCCCCCCCC[CH2][Pb][O][Pb][O][Pb][CH2]CCCCCCCCCCCCCCCCC,Contained NaN in final set
CCCCCCCCCCCC[S][Sn]([CH2]CCC)([CH2]CCC)[S]CCCCCCCCCCCC,Contained NaN in final set
CCCCCCC[CH2][Sn](=[O])[CH2]CCCCCCC,Contained NaN in final set
CCCCCCC[CH2][Sn]([CH2]CCCCCCC)([CH2]CCCCCCC)[CH2]CCCCCCC,Contained NaN in final set
CCCCCCC[CH2][Sn]([Cl])([Cl])[CH2]CCCCCCC,Contained NaN in final set
