Std_SMILES,Orig_SMILES,IDs,Count
C#CCN(C)[C@H](C)Cc1ccccc1,C#CCN(C)[C@H](C)Cc1ccccc1,68e7b32a149be731d2e79ec5 | 6995a494e7480c69207d1bca,2
C/C=C/C(=O)C1=C(C)CCCC1(C)C,C/C=C/C(=O)C1C(C)=CCCC1(C)C | C/C=C/C(=O)C1=C(C)CCCC1(C)C,6995a498e7480c69207d1dc6 | 6995a4a1e7480c69207d2439,2
C/C=C/C(C)O,C/C=C/C(C)O,68e7b32a149be731d2e79edb | 6995a49ce7480c69207d1fb0,2
C=CC(C)CC/C=C(\C)CCC=O,C=CC(C)CC/C=C(\C)CCC=O,68e7b32a149be731d2e79f5a | 6995a4a0e7480c69207d2350,2
C=NO,C=NO | CN=O,68e7b32a149be731d2e79fae | 6995a405e7480c69207d1566,2
CC(=NO)C(C)=NO,C/C(N=O)=C(\C)NO | CC(N=O)C(C)N=O,68e7b32a149be731d2e79ed1 | 68e7b3e0149be731d2e92173,2
CC(=O)/C=C/C1=C(C)CCCC1(C)C,CC(=O)/C=C/C1C(C)=CCCC1(C)C | CC(=O)/C=C/C1=C(C)CCCC1(C)C,6995a491e7480c69207d1a7a | 6995a49ee7480c69207d2100,2
CC(=O)NC[C@H]1CN(c2ccc(N3CCN(C(=O)CO)CC3)c(F)c2)C(=O)O1,CC(=O)NC[C@H]1CN(c2ccc(N3CCN(C(=O)CO)CC3)c(F)c2)C(=O)O1,68e7b336149be731d2e7b445 | 6995a497e7480c69207d1d50,2
CC(=O)Nc1ccc(/C=N/NC(N)=S)cc1,CC(=O)Nc1ccc(/C=N/NC(N)=S)cc1,68e7b32a149be731d2e7a010 | 6995a498e7480c69207d1d78,2
CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,68e7b338149be731d2e7b6ba | 6995a4a0e7480c69207d22fd,2
CC(C)C1CCC(=NO)C(=NO)C1,CC(C)C1CCC(=NO)C(=NO)C1 | CC(C)C1CCC(N=O)C(N=O)C1,68e7b32b149be731d2e7a12c | 68e7b3e0149be731d2e9216b,2
CC(C)[C@@H](O)C#N,CC(C)[C@@H](O)C#N,68e7b32b149be731d2e7a1bb | 6995a49ce7480c69207d1fcb,2
CC(C=NO)=NO,CC(C=NO)=NO | C/C(=C\N=O)NO | CC(CN=O)N=O,68e7b322149be731d2e78f99 | 68e7b32a149be731d2e79ece | 68e7b3e0149be731d2e92171,3
CC/C(C)=C/CC/C(C)=C/C#N,CC/C(C)=C/CC/C(C)=C/C#N,68e7b32b149be731d2e7a22a | 6995a49de7480c69207d20aa,2
CC/C=C\C(=O)O,CC/C=C\C(=O)O,68e7b32b149be731d2e7a234 | 6995a499e7480c69207d1e3c,2
CC1=C2CC(=O)C=C[C@]2(C)[C@@H]2[C@@H](C1)[C@@H]1CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@@H]2O,C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)CO)[C@@]2(C)C=CC(=O)C=C12 | CC1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)CO)[C@@]2(C)C=CC(=O)C=C12,6995a492e7480c69207d1aa1 | 6995a4a1e7480c69207d2493,2
CC1=CCC(/C=C/C(C)(C)C(C)O)C1(C)C,CC1=CCC(/C=C/C(C)(C)C(C)O)C1(C)C,68e7b32c149be731d2e7a2a2 | 6995a4a0e7480c69207d235c,2
CC1CCC(=NO)C(=NO)C1,CC1CCC(N=O)C(N=O)C1 | CC1CCC(=NO)C(=NO)C1,68e7b3e0149be731d2e92179 | 6995a3abe7480c69207d10b7,2
CC1CCCC(=NO)C1=NO,CC1CCCC(=NO)C1=NO | CC1CCCC(N=O)C1N=O,68e7b32c149be731d2e7a2d7 | 68e7b3e0149be731d2e9217a,2
CC=Cc1ccc(O)c(O)c1,C=CCc1ccc(O)c(O)c1 | CC=Cc1ccc(O)c(O)c1,68e7b32a149be731d2e79f92 | 68e7b32c149be731d2e7a2fa,2
CCC(=NO)C(CC)=NO,CC/C(N=O)=C(/CC)NO | CCC(N=O)C(CC)N=O | CCC(=NO)C(CC)=NO,68e7b32b149be731d2e7a22d | 68e7b3e0149be731d2e9217c | 6995a3abe7480c69207d1046,3
CCC(C)(C)C1CCC(=NO)C(=NO)C1,CCC(C)(C)C1CCC(=NO)C(=NO)C1 | CCC(C)(C)C1CCC(N=O)C(N=O)C1,68e7b32c149be731d2e7a324 | 6995a407e7480c69207d18d2,2
CCC(C)=NO,CCC(C)=NO | CCC(C)N=O,68e7b314149be731d2e777e4 | 68e7b3e0149be731d2e9217b,2
CCCC(=NOCC)C1C(=O)CC(C2CCCSC2)CC1=O,CCCC(=NOCC)C1=C(O)CC(C2CCCSC2)CC1=O | CCCC(NOCC)=C1C(=O)CC(C2CCCSC2)CC1=O,68e7b31b149be731d2e78382 | 6995a406e7480c69207d161f,2
CCCCCCC(C/C=C\CCCCCCCC(=O)O)OS(=O)(=O)O,CCCCCCC(C/C=C\CCCCCCCC(=O)O)OS(=O)(=O)O,68e7b32d149be731d2e7a458 | 6995a49de7480c69207d208b,2
CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,68e7b341149be731d2e7c7ba | 6995a49fe7480c69207d2268,2
CCOC(=O)C(Cc1ccc(Cl)cc1)=NC=O,CCOC(=O)C(=Cc1ccc(Cl)cc1)NC=O | CCOC(=O)/C(=C\c1ccc(Cl)cc1)N=CO,6995a406e7480c69207d1636 | 6995a4a0e7480c69207d2315,2
CCOC(=O)C(Cc1ccc(OC)c(OC)c1)=NC=O,CCOC(=O)C(=Cc1ccc(OC)c(OC)c1)NC=O | CCOC(=O)/C(=C\c1ccc(OC)c(OC)c1)N=CO,6995a406e7480c69207d1632 | 6995a49fe7480c69207d21a5,2
