SMILES,LogS,MW,LogP,MolMR,HBD,HBA,TPSA,RB,AP,Lipinski_Violations,Target_LogS_Range
Br/C=C/Br,-1.5306316050779385,185.84599999999998,2.2474,26.993999999999996,0,0,0.0,0,0.0,0,True
Br/C=C\Br,-1.3197632159345372,185.84599999999998,2.2474,26.993999999999996,0,0,0.0,0,0.0,0,True
BrBr,-0.6773,159.808,1.6912,17.854,0,0,0.0,0,0.0,0,False
BrC(Br)(Br)Br,-3.140261433802853,331.62699999999995,3.1773000000000002,38.439,0,0,0.0,0,0.0,0,True
BrC(Br)Br,-1.9099490566448496,252.731,2.4547,30.569,0,0,0.0,0,0.0,0,True
BrC(Br)C(Br)Br,-2.719756128748829,345.654,3.2182000000000004,43.284000000000006,0,0,0.0,1,0.0,0,True
BrC1CC(Br)CC(Br)CC(Br)CC(Br)CC(Br)C1,-6.991399828238082,641.6999999999999,6.921600000000004,103.99200000000003,0,0,0.0,0,0.0,2,False
BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,-7.872895201635193,641.6999999999999,6.921600000000004,103.99200000000005,0,0,0.0,0,0.0,2,False
BrC1CCCCC1,-2.2980229666730847,163.05799999999996,2.7140000000000004,35.8,0,0,0.0,0,0.0,0,True
BrC=CBr,-1.3200000021074918,185.84599999999998,2.2474,26.993999999999996,0,0,0.0,0,0.0,0,True
BrC=Cc1ccccc1,-3.369963112894032,183.048,3.052200000000001,44.40300000000002,0,0,0.0,1,0.6666666666666666,0,True
BrCBr,-1.1699999970399535,173.83499999999998,1.7337,22.720999999999997,0,0,0.0,0,0.0,0,True
BrCC(Br)Br,-2.727173755720307,266.758,2.4972000000000003,35.43600000000001,0,0,0.0,1,0.0,0,True
BrCC(CBr)(CBr)CBr,-5.384049948343599,387.735,3.5524000000000013,57.609000000000016,0,0,0.0,4,0.0,0,False
BrCC1CCC1,-3.2865094569060576,149.03099999999998,2.1814,31.134999999999987,0,0,0.0,1,0.0,0,True
BrCCBr,-1.6800000064135183,187.862,1.7762,27.587999999999994,0,0,0.0,1,0.0,0,True
BrCCCBr,-2.0798033926983663,201.889,2.1663000000000006,32.20499999999999,0,0,0.0,2,0.0,0,True
BrCCCCBr,-2.7902167172339354,215.916,2.556400000000001,36.822,0,0,0.0,3,0.0,0,True
BrCCCCCCBr,-3.812479279163537,243.96999999999997,3.3366000000000025,46.056000000000026,0,0,0.0,5,0.0,0,True
BrCCc1ccccc1,-3.6757175447023074,185.06400000000002,2.6240000000000006,43.940000000000026,0,0,0.0,2,0.6666666666666666,0,True
BrCc1ccccc1,-2.6476293283767967,171.037,2.5815,39.07300000000002,0,0,0.0,1,0.75,0,True
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,-9.537602002101044,551.49,6.261600000000001,72.642,0,0,0.0,0,0.5,2,False
